instance_name,n,m,ratio,generator_seed,solver_seed,algorithm_name,best_satisfied_clauses,total_clauses,satisfaction_rate,unsatisfied_clauses,runtime_seconds,iterations_used,fully_satisfied,iteration_of_best
3sat_n700_r3_i00.json,700,2100,3.0,703004242,703004242,Simulated Annealing (Baseline),2076,2100,0.9885714285714285,24,10.966618799953721,3127,False,3111
3sat_n700_r3_i00.json,700,2100,3.0,703004242,703004259,Simulated Annealing (Enhanced),2097,2100,0.9985714285714286,3,2.848584600025788,8221,False,6879
3sat_n700_r4.3_i00.json,700,3010,4.3,704305152,704305152,Simulated Annealing (Baseline),2946,3010,0.9787375415282392,64,14.039016800001264,3127,False,3082
3sat_n700_r4.3_i00.json,700,3010,4.3,704305152,704305169,Simulated Annealing (Enhanced),2996,3010,0.9953488372093023,14,6.616161399986595,8905,False,8037
3sat_n700_r6_i00.json,700,4200,6.0,706006342,706006342,Simulated Annealing (Baseline),4063,4200,0.9673809523809523,137,18.90770350000821,3127,False,3069
3sat_n700_r6_i00.json,700,4200,6.0,706006342,706006359,Simulated Annealing (Enhanced),4142,4200,0.9861904761904762,58,10.056143200024962,9324,False,7193
3sat_n700_r8_i00.json,700,5600,8.0,708007742,708007742,Simulated Annealing (Baseline),5383,5600,0.96125,217,27.340888599981554,3127,False,3119
3sat_n700_r8_i00.json,700,5600,8.0,708007742,708007759,Simulated Annealing (Enhanced),5458,5600,0.9746428571428571,142,7.527604700066149,6944,False,3531
3sat_n700_r10_i00.json,700,7000,10.0,710009142,710009142,Simulated Annealing (Baseline),6630,7000,0.9471428571428572,370,26.395296999951825,3127,False,3102
3sat_n700_r10_i00.json,700,7000,10.0,710009142,710009159,Simulated Annealing (Enhanced),6766,7000,0.9665714285714285,234,9.952858099946752,7275,False,4314
3sat_n1000_r3_i00.json,1000,3000,3.0,1003005142,1003005142,Simulated Annealing (Baseline),2945,3000,0.9816666666666667,55,10.064665799960494,3127,False,3114
3sat_n1000_r3_i00.json,1000,3000,3.0,1003005142,1003005159,Simulated Annealing (Enhanced),2997,3000,0.999,3,3.185317400027998,8799,False,3178
3sat_n1000_r4.3_i00.json,1000,4300,4.3,1004306052,1004306052,Simulated Annealing (Baseline),4173,4300,0.9704651162790697,127,15.718811099999584,3127,False,3110
3sat_n1000_r4.3_i00.json,1000,4300,4.3,1004306052,1004306069,Simulated Annealing (Enhanced),4278,4300,0.9948837209302326,22,7.9826920999912545,9850,False,9793
3sat_n1000_r6_i00.json,1000,6000,6.0,1006007242,1006007242,Simulated Annealing (Baseline),5779,6000,0.9631666666666666,221,20.428571399999782,3127,False,3121
3sat_n1000_r6_i00.json,1000,6000,6.0,1006007242,1006007259,Simulated Annealing (Enhanced),5916,6000,0.986,84,12.129464800003916,9989,False,9569
3sat_n1000_r8_i00.json,1000,8000,8.0,1008008642,1008008642,Simulated Annealing (Baseline),7605,8000,0.950625,395,29.683941600029357,3127,False,3087
3sat_n1000_r8_i00.json,1000,8000,8.0,1008008642,1008008659,Simulated Annealing (Enhanced),7800,8000,0.975,200,11.436909000040032,7222,False,6867
3sat_n1000_r10_i00.json,1000,10000,10.0,1010010042,1010010042,Simulated Annealing (Baseline),9462,10000,0.9462,538,35.612300899927504,3127,False,3105
3sat_n1000_r10_i00.json,1000,10000,10.0,1010010042,1010010059,Simulated Annealing (Enhanced),9659,10000,0.9659,341,14.865014599985443,7706,False,5257
