mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,n,ratio
0.97625,0.7598183999070898,0.0,19.0,1,0,0.7598183999070898,0.97625,Simulated Annealing (Enhanced),100,8.0
0.969,0.9970126999542117,0.0,31.0,1,0,0.9970126999542117,0.969,Simulated Annealing (Enhanced),100,10.0
1.0,0.024309100001119077,1.0,0.0,1,1,0.024309100001119077,1.0,Simulated Annealing (Enhanced),150,3.0
0.9922480620155039,0.7956575000425801,0.0,5.0,1,0,0.7956575000425801,0.9922480620155039,Simulated Annealing (Enhanced),150,4.3
0.9866666666666667,1.0766929000383243,0.0,12.0,1,0,1.0766929000383243,0.9866666666666667,Simulated Annealing (Enhanced),150,6.0
0.9758333333333333,1.1990818999474868,0.0,29.0,1,0,1.1990818999474868,0.9758333333333333,Simulated Annealing (Enhanced),150,8.0
0.9693333333333334,1.543414800078608,0.0,46.0,1,0,1.543414800078608,0.9693333333333334,Simulated Annealing (Enhanced),150,10.0
1.0,0.09803420002572238,1.0,0.0,1,1,0.09803420002572238,1.0,Simulated Annealing (Enhanced),200,3.0
0.9965116279069768,1.359327399986796,0.0,3.0,1,0,1.359327399986796,0.9965116279069768,Simulated Annealing (Enhanced),200,4.3
0.9833333333333333,1.4976346000330523,0.0,20.0,1,0,1.4976346000330523,0.9833333333333333,Simulated Annealing (Enhanced),200,6.0
0.975,2.048573000007309,0.0,40.0,1,0,2.048573000007309,0.975,Simulated Annealing (Enhanced),200,8.0
0.9605,2.5536878999555483,0.0,79.0,1,0,2.5536878999555483,0.9605,Simulated Annealing (Enhanced),200,10.0
0.9988888888888889,0.959315299987793,0.0,1.0,1,0,0.959315299987793,0.9988888888888889,Simulated Annealing (Enhanced),300,3.0
0.9968992248062015,1.4407313000410795,0.0,4.0,1,0,1.4407313000410795,0.9968992248062015,Simulated Annealing (Enhanced),300,4.3
0.9861111111111112,2.961859100032598,0.0,25.0,1,0,2.961859100032598,0.9861111111111112,Simulated Annealing (Enhanced),300,6.0
0.9741666666666666,3.1046825000084937,0.0,62.0,1,0,3.1046825000084937,0.9741666666666666,Simulated Annealing (Enhanced),300,8.0
0.9646666666666667,3.8628417999716476,0.0,106.0,1,0,3.8628417999716476,0.9646666666666667,Simulated Annealing (Enhanced),300,10.0
1.0,0.13578699994832277,1.0,0.0,1,1,0.13578699994832277,1.0,Simulated Annealing (Enhanced),400,3.0
